location_id,name,plainName,cp,lat,lon,createdAt,updatedAt
58,Alcalá del Júcar,alcala-del-jucar,2210,39.19493,-1.428599,2/21/2016 11:21:57,2/21/2016 11:21:57
59,Alcaraz,alcaraz,2300,38.66776,-2.490049,2/21/2016 11:21:57,2/21/2016 11:21:57
60,Almansa,almansa,2640,38.86906,-1.095614,2/21/2016 11:21:57,2/21/2016 11:21:57
61,Alpera,alpera,2690,38.95725,-1.228566,2/21/2016 11:21:57,2/21/2016 11:21:57
62,Ayna,ayna,2125,38.553645,-2.071172,2/21/2016 11:21:57,2/21/2016 11:21:57
63,Balazote,balazote,2320,38.88348,-2.153662,2/21/2016 11:21:57,2/21/2016 11:21:57
64,Ballestero,ballestero,2614,38.841831,-2.45301,2/21/2016 11:21:57,2/21/2016 11:21:57
65,Balsa de Ves,balsa-de-ves,2214,39.263685,-1.196894,2/21/2016 11:21:57,2/21/2016 11:21:57
66,Barrax,barrax,2639,39.044305,-2.200924,2/21/2016 11:21:57,2/21/2016 11:21:57
67,Bienservida,bienservida,2360,38.51745,-2.610379,2/21/2016 11:21:57,2/21/2016 11:21:57
68,Bogarra,bogarra,2130,38.582969,-2.214288,2/21/2016 11:21:57,2/21/2016 11:21:57
69,Bonete,bonete,2691,38.869839,-1.347309,2/21/2016 11:21:57,2/21/2016 11:21:57
70,Bonillo,bonillo,2610,38.952492,-2.53577,2/21/2016 11:21:57,2/21/2016 11:21:57
71,Carcelén,carcelen,2153,39.104728,-1.30819,2/21/2016 11:21:57,2/21/2016 11:21:57
72,Casas de Juan Núñez,casas-de-juan-nunez,2151,39.100255,-1.557914,2/21/2016 11:21:57,2/21/2016 11:21:57
73,Casas de Lázaro,casas-de-lazaro,2329,38.773285,-2.241009,2/21/2016 11:21:57,2/21/2016 11:21:57
74,Casas de Ves,casas-de-ves,2212,39.258594,-1.332994,2/21/2016 11:21:57,2/21/2016 11:21:57
75,Casas-Ibáñez,casas-ibanez,2200,39.284728,-1.474141,2/21/2016 11:21:57,2/21/2016 11:21:57
76,Caudete,caudete,2660,38.70852,-0.985724,2/21/2016 11:21:57,2/21/2016 11:21:57
77,Cenizate,cenizate,2247,39.303275,-1.661261,2/21/2016 11:21:57,2/21/2016 11:21:57
78,Chinchilla de Monte-Aragón,chinchilla-de-monte-aragon,2520,38.920925,-1.723295,2/21/2016 11:21:57,2/21/2016 11:21:57
79,Corral-Rubio,corral-rubio,2693,38.83595,-1.460639,2/21/2016 11:21:57,2/21/2016 11:21:57
80,Cotillas,cotillas,2461,38.430035,-2.504059,2/21/2016 11:21:57,2/21/2016 11:21:57
81,Elche de la Sierra,elche-de-la-sierra,2430,38.45079,-2.047054,2/21/2016 11:21:57,2/21/2016 11:21:57
82,Férez,ferez,2436,38.35401,-2.010664,2/21/2016 11:21:57,2/21/2016 11:21:57
83,Fuensanta,fuensanta,2637,39.243126,-2.069772,2/21/2016 11:21:57,2/21/2016 11:21:57
84,Fuente-Álamo,fuente-alamo,2651,38.690292,-1.433348,2/21/2016 11:21:57,2/21/2016 11:21:57
85,Fuentealbilla,fuentealbilla,2260,39.26644,-1.548134,2/21/2016 11:21:57,2/21/2016 11:21:57
86,Gineta,gineta,2110,39.112747,-1.991959,2/21/2016 11:21:57,2/21/2016 11:21:57
87,Golosalvo,golosalvo,2253,39.238085,-1.635649,2/21/2016 11:21:57,2/21/2016 11:21:57
88,Hellín,hellin,2400,38.511755,-1.697114,2/21/2016 11:21:57,2/21/2016 11:21:57
89,Herrera,herrera,2162,38.961945,-2.125854,2/21/2016 11:21:57,2/21/2016 11:21:57
90,Higueruela,higueruela,2694,38.962685,-1.443324,2/21/2016 11:21:57,2/21/2016 11:21:57
91,Hoya-Gonzalo,hoya-gonzalo,2696,38.957885,-1.556154,2/21/2016 11:21:57,2/21/2016 11:21:57
92,Jorquera,jorquera,2248,39.174896,-1.523864,2/21/2016 11:21:57,2/21/2016 11:21:57
93,Letur,letur,2434,38.36531,-2.102009,2/21/2016 11:21:57,2/21/2016 11:21:57
94,Lezuza,lezuza,2160,38.948,-2.350354,2/21/2016 11:21:57,2/21/2016 11:21:57
95,Liétor,lietor,2410,38.543475,-1.954019,2/21/2016 11:21:57,2/21/2016 11:21:57
96,Madrigueras,madrigueras,2230,39.237,-1.800199,2/21/2016 11:21:57,2/21/2016 11:21:57
97,Mahora,mahora,2240,39.209435,-1.724989,2/21/2016 11:21:57,2/21/2016 11:21:57
98,Masegoso,masegoso,2314,38.717215,-2.317759,2/21/2016 11:21:57,2/21/2016 11:21:57
99,Minaya,minaya,2620,39.27275,-2.321632,2/21/2016 11:21:57,2/21/2016 11:21:57
100,Molinicos,molinicos,2440,38.4678,-2.238339,2/21/2016 11:21:57,2/21/2016 11:21:57
101,Montalvos,montalvos,2638,39.168255,-2.028784,2/21/2016 11:21:57,2/21/2016 11:21:57
102,Montealegre del Castillo,montealegre-del-castillo,2650,38.790505,-1.327159,2/21/2016 11:21:57,2/21/2016 11:21:57
103,Motilleja,motilleja,2220,39.180856,-1.788957,2/21/2016 11:21:57,2/21/2016 11:21:57
